geo_value,time_value,full_time_work_prop
or,2019-12-26,0.036360601010384
pa,2019-12-26,0.042278373203787
pr,2019-12-26,0.071895425732656
ri,2019-12-26,0.046489197795167
sc,2019-12-26,0.03558744058534
sd,2019-12-26,0.057326154945822
tn,2019-12-26,0.043360053308467
tx,2019-12-26,0.046580761555934
ut,2019-12-26,0.042719771341576
va,2019-12-26,0.038482854552805
vi,2019-12-26,0.061775640818057
vt,2019-12-26,0.052132916783661
wa,2019-12-26,0.036430206031359
wi,2019-12-26,0.055638759384214
wv,2019-12-26,0.043394020753825
wy,2019-12-26,0.042366187529614
ak,2019-12-27,0.033318641694323
al,2019-12-27,0.038440063982527
ar,2019-12-27,0.049158957873637
as,2019-12-27,0.13468707218707
az,2019-12-27,0.0397454286169
ca,2019-12-27,0.039606658086239
co,2019-12-27,0.036931944392584
ct,2019-12-27,0.038010097900961
dc,2019-12-27,0.032861808762855
de,2019-12-27,0.038345144549389
fl,2019-12-27,0.040998108234158
ga,2019-12-27,0.036193743966852
gu,2019-12-27,0.065245071553423
hi,2019-12-27,0.025750592746085
ia,2019-12-27,0.04746872771049
id,2019-12-27,0.041703988501768
il,2019-12-27,0.049882498295322
in,2019-12-27,0.037305353868524
ks,2019-12-27,0.045728963873256
ky,2019-12-27,0.03746131603547
la,2019-12-27,0.046380749436761
ma,2019-12-27,0.040537745158781
md,2019-12-27,0.038791432943279
me,2019-12-27,0.043197052078121
mi,2019-12-27,0.038658473043294
mn,2019-12-27,0.05055192940577
mo,2019-12-27,0.050243074548384
mp,2019-12-27,0.065509378102041
ms,2019-12-27,0.042826575872349
mt,2019-12-27,0.0436369146453
nc,2019-12-27,0.034224070831879
nd,2019-12-27,0.047568159974561
ne,2019-12-27,0.051743840530183
nh,2019-12-27,0.045362931479335
nj,2019-12-27,0.042369727975351
nm,2019-12-27,0.038908374767293
nv,2019-12-27,0.03442336841713
ny,2019-12-27,0.043798706395037
oh,2019-12-27,0.041055915624743
ok,2019-12-27,0.04974142973259
or,2019-12-27,0.038397214497133
pa,2019-12-27,0.045824759564388
pr,2019-12-27,0.072091420922022
ri,2019-12-27,0.051993082957892
sc,2019-12-27,0.039539215235361
sd,2019-12-27,0.058591849806627
tn,2019-12-27,0.047590692772508
tx,2019-12-27,0.051158309591488
ut,2019-12-27,0.047354360012434
va,2019-12-27,0.042790978358533
vi,2019-12-27,0.064856084093618
vt,2019-12-27,0.052940263092045
wa,2019-12-27,0.038268226410082
wi,2019-12-27,0.058731711606384
wv,2019-12-27,0.045979185151926
wy,2019-12-27,0.040480344172165
ak,2019-12-28,0.034486725147504
al,2019-12-28,0.039608038060935
ar,2019-12-28,0.028835753030396
as,2019-12-28,0.14534466985447
az,2019-12-28,0.027202522471227
ca,2019-12-28,0.022236204913727
co,2019-12-28,0.022061826723155
ct,2019-12-28,0.021577357702513
dc,2019-12-28,0.023273385816905
de,2019-12-28,0.021759175410113
fl,2019-12-28,0.020033497579856
ga,2019-12-28,0.018726968845131
gu,2019-12-28,0.067872468852214
hi,2019-12-28,0.017661569519568
ia,2019-12-28,0.031705280599026
id,2019-12-28,0.022863558619808
il,2019-12-28,0.02964904311259
in,2019-12-28,0.022232049092212
ks,2019-12-28,0.029863938553321
ky,2019-12-28,0.022895340365772
la,2019-12-28,0.03236182928651
ma,2019-12-28,0.028776198384471
md,2019-12-28,0.023896885142895
me,2019-12-28,0.028962902647736
mi,2019-12-28,0.027768632596774
mn,2019-12-28,0.033175273547467
mo,2019-12-28,0.034829104477152
mp,2019-12-28,0.077993639128162
ms,2019-12-28,0.031048329548019
mt,2019-12-28,0.035833183316836
nc,2019-12-28,0.022456784051569
nd,2019-12-28,0.03314094509845
ne,2019-12-28,0.033268978807617
nh,2019-12-28,0.029595722482219
nj,2019-12-28,0.028892410997055
nm,2019-12-28,0.033140709038794
nv,2019-12-28,0.028364744520639
ny,2019-12-28,0.031862791499205
oh,2019-12-28,0.026396412363486
ok,2019-12-28,0.031148936055128
or,2019-12-28,0.024337929379707
pa,2019-12-28,0.0274849865607
pr,2019-12-28,0.069508746041515
ri,2019-12-28,0.02971052565411
sc,2019-12-28,0.023768764148858
sd,2019-12-28,0.032542329196313
tn,2019-12-28,0.028578611837167
tx,2019-12-28,0.03248114151286
ut,2019-12-28,0.029803520439723
va,2019-12-28,0.029287014459512
vi,2019-12-28,0.070863187016094
vt,2019-12-28,0.037828160368592
wa,2019-12-28,0.02738850557564
wi,2019-12-28,0.038442612269953
wv,2019-12-28,0.033378464248648
wy,2019-12-28,0.034009690176493
ak,2019-12-29,0.033441707222252
al,2019-12-29,0.025067034747813
ar,2019-12-29,0.026534986272302
as,2019-12-29,0.12857142857143
az,2019-12-29,0.02384750856584
ca,2019-12-29,0.026744910552253
co,2019-12-29,0.021466395601022
ct,2019-12-29,0.019991777169991
dc,2019-12-29,0.023873291646631
de,2019-12-29,0.019761504952033
fl,2019-12-29,0.018827073310389
ga,2019-12-29,0.017319882156254
gu,2019-12-29,0.05554689606427
hi,2019-12-29,0.021449749043359
ia,2019-12-29,0.024202997420132
id,2019-12-29,0.023223070525178
il,2019-12-29,0.027229739807439
in,2019-12-29,0.020009456561096
ks,2019-12-29,0.024605498394793
ky,2019-12-29,0.020412429142106
la,2019-12-29,0.027261740807022
ma,2019-12-29,0.026367093888061
md,2019-12-29,0.021957646925879
me,2019-12-29,0.02719626311334
