geo_value,time_value,percent_covid_visits
ne,2020-02-10,0.005733
nh,2020-02-10,0.009057
nj,2020-02-10,0.00195
nm,2020-02-10,0.006314
nv,2020-02-10,0.00401
ny,2020-02-10,0.007862
oh,2020-02-10,0.001507
ok,2020-02-10,0.002699
or,2020-02-10,0.004604
pa,2020-02-10,0.000789
pr,2020-02-10,0.007981
ri,2020-02-10,0.007304
sc,2020-02-10,0.002615
sd,2020-02-10,0.010339
tn,2020-02-10,0.00439
tx,2020-02-10,0.001
ut,2020-02-10,0.010027
va,2020-02-10,0.001181
vt,2020-02-10,0.02053
wa,2020-02-10,0.001379
wi,2020-02-10,0.002566
wv,2020-02-10,0.005559
wy,2020-02-10,0.029148
ak,2020-02-11,0.025225
al,2020-02-11,0.002096
ar,2020-02-11,0.003428
az,2020-02-11,0.001056
ca,2020-02-11,0.001299
co,2020-02-11,0.0109
ct,2020-02-11,0.002502
dc,2020-02-11,0.007419
de,2020-02-11,0.004425
fl,2020-02-11,0.001636
ga,2020-02-11,0.002047
hi,2020-02-11,0.007387
ia,2020-02-11,0.005061
id,2020-02-11,0.013139
il,2020-02-11,0.00248
in,2020-02-11,0.001979
ks,2020-02-11,0.003305
ky,2020-02-11,0.001905
la,2020-02-11,0.00258
ma,2020-02-11,0.00108
md,2020-02-11,0.002043
me,2020-02-11,0.003542
mi,2020-02-11,0.00148
mn,2020-02-11,0.002565
mo,2020-02-11,0.003299
ms,2020-02-11,0.003319
mt,2020-02-11,0.011592
nc,2020-02-11,0.001007
nd,2020-02-11,0.014507
ne,2020-02-11,0.004051
nh,2020-02-11,0.007575
nj,2020-02-11,0.001707
nm,2020-02-11,0.005176
nv,2020-02-11,0.003289
ny,2020-02-11,0.007455
oh,2020-02-11,0.001178
ok,2020-02-11,0.002186
or,2020-02-11,0.003557
pa,2020-02-11,0.001171
pr,2020-02-11,0.00694
ri,2020-02-11,0.006464
sc,2020-02-11,0.002032
sd,2020-02-11,0.008669
tn,2020-02-11,0.004242
tx,2020-02-11,0.000939
ut,2020-02-11,0.007438
va,2020-02-11,0.001018
vt,2020-02-11,0.016049
wa,2020-02-11,0.001101
wi,2020-02-11,0.002075
wv,2020-02-11,0.004011
wy,2020-02-11,0.024263
ak,2020-02-12,0.023141
al,2020-02-12,0.001895
ar,2020-02-12,0.00294
az,2020-02-12,0.001221
ca,2020-02-12,0.001172
co,2020-02-12,0.009794
ct,2020-02-12,0.002024
dc,2020-02-12,0.006657
de,2020-02-12,0.007728
fl,2020-02-12,0.002245
ga,2020-02-12,0.001703
hi,2020-02-12,0.010364
ia,2020-02-12,0.004059
id,2020-02-12,0.01614
il,2020-02-12,0.002049
in,2020-02-12,0.001613
ks,2020-02-12,0.002978
ky,2020-02-12,0.001501
la,2020-02-12,0.002518
ma,2020-02-12,0.000964
md,2020-02-12,0.002004
me,2020-02-12,0.002949
mi,2020-02-12,0.001183
mn,2020-02-12,0.002063
mo,2020-02-12,0.002637
ms,2020-02-12,0.003019
mt,2020-02-12,0.009945
nc,2020-02-12,0.001282
nd,2020-02-12,0.012706
ne,2020-02-12,0.003176
nh,2020-02-12,0.006588
nj,2020-02-12,0.001305
nm,2020-02-12,0.004695
nv,2020-02-12,0.002818
ny,2020-02-12,0.005957
oh,2020-02-12,0.000827
ok,2020-02-12,0.001911
or,2020-02-12,0.002802
pa,2020-02-12,0.00111
pr,2020-02-12,0.006213
ri,2020-02-12,0.005822
sc,2020-02-12,0.001668
sd,2020-02-12,0.007654
tn,2020-02-12,0.004179
tx,2020-02-12,0.000801
ut,2020-02-12,0.005853
va,2020-02-12,0.001352
vt,2020-02-12,0.013226
wa,2020-02-12,0.000927
wi,2020-02-12,0.002518
wv,2020-02-12,0.003385
wy,2020-02-12,0.021561
ak,2020-02-13,0.021158
al,2020-02-13,0.001719
ar,2020-02-13,0.002637
az,2020-02-13,0.001348
ca,2020-02-13,0.000897
co,2020-02-13,0.008893
ct,2020-02-13,0.001697
dc,2020-02-13,0.006066
de,2020-02-13,0.006693
fl,2020-02-13,0.002099
ga,2020-02-13,0.001404
hi,2020-02-13,0.009223
ia,2020-02-13,0.003227
id,2020-02-13,0.012793
il,2020-02-13,0.001478
in,2020-02-13,0.002025
ks,2020-02-13,0.002775
ky,2020-02-13,0.001232
la,2020-02-13,0.001934
ma,2020-02-13,0.000881
md,2020-02-13,0.00155
me,2020-02-13,0.002557
mi,2020-02-13,0.000967
mn,2020-02-13,0.001703
mo,2020-02-13,0.002163
ms,2020-02-13,0.002779
mt,2020-02-13,0.008995
nc,2020-02-13,0.001077
nd,2020-02-13,0.012428
ne,2020-02-13,0.002625
nh,2020-02-13,0.005899
nj,2020-02-13,0.001505
nm,2020-02-13,0.004322
nv,2020-02-13,0.002459
ny,2020-02-13,0.005535
oh,2020-02-13,0.001004
ok,2020-02-13,0.001717
or,2020-02-13,0.002263
pa,2020-02-13,0.001215
pr,2020-02-13,0.005706
ri,2020-02-13,0.005437
sc,2020-02-13,0.001406
sd,2020-02-13,0.007295
tn,2020-02-13,0.003189
tx,2020-02-13,0.00105
ut,2020-02-13,0.004731
va,2020-02-13,0.001192
vt,2020-02-13,0.011617
wa,2020-02-13,0.001246
wi,2020-02-13,0.002124
wv,2020-02-13,0.003078
wy,2020-02-13,0.019578
ak,2020-02-14,0.020078
al,2020-02-14,0.001623
ar,2020-02-14,0.002479
az,2020-02-14,0.001127
ca,2020-02-14,0.000695
co,2020-02-14,0.009263
ct,2020-02-14,0.002259
dc,2020-02-14,0.005719
de,2020-02-14,0.005889
fl,2020-02-14,0.001993
ga,2020-02-14,0.001202
hi,2020-02-14,0.011556
ia,2020-02-14,0.002626
id,2020-02-14,0.010391
il,2020-02-14,0.001595
in,2020-02-14,0.001786
ks,2020-02-14,0.004834
ky,2020-02-14,0.001115
la,2020-02-14,0.00153
ma,2020-02-14,0.00083
md,2020-02-14,0.001615
me,2020-02-14,0.00246
mi,2020-02-14,0.001333
mn,2020-02-14,0.002112
mo,2020-02-14,0.002589
ms,2020-02-14,0.002625
mt,2020-02-14,0.008474
nc,2020-02-14,0.000935
nd,2020-02-14,0.011518
ne,2020-02-14,0.003595
nh,2020-02-14,0.005605
nj,2020-02-14,0.001701
nm,2020-02-14,0.004021
nv,2020-02-14,0.002238
ny,2020-02-14,0.005649
oh,2020-02-14,0.000772
ok,2020-02-14,0.001598
or,2020-02-14,0.001867
pa,2020-02-14,0.000986
pr,2020-02-14,0.005428
ri,2020-02-14,0.005114
sc,2020-02-14,0.001237
sd,2020-02-14,0.006987
tn,2020-02-14,0.002879
tx,2020-02-14,0.000924
ut,2020-02-14,0.003996
va,2020-02-14,0.001076
vt,2020-02-14,0.010552
wa,2020-02-14,0.001089
wi,2020-02-14,0.001874
wv,2020-02-14,0.002891
wy,2020-02-14,0.018526
ak,2020-02-15,0.019609
al,2020-02-15,0.001621
ar,2020-02-15,0.002482
az,2020-02-15,0.001324
ca,2020-02-15,0.000703
co,2020-02-15,0.008115
ct,2020-02-15,0.002058
dc,2020-02-15,0.005695
de,2020-02-15,0.005426
fl,2020-02-15,0.001846
ga,2020-02-15,0.001072
hi,2020-02-15,0.010462
ia,2020-02-15,0.002114
id,2020-02-15,0.008959
il,2020-02-15,0.001765
in,2020-02-15,0.00162
ks,2020-02-15,0.004445
ky,2020-02-15,0.001587
la,2020-02-15,0.001295
ma,2020-02-15,0.000826
md,2020-02-15,0.001354
me,2020-02-15,0.002352
mi,2020-02-15,0.001171
mn,2020-02-15,0.001872
mo,2020-02-15,0.002998
ms,2020-02-15,0.002634
mt,2020-02-15,0.008598
nc,2020-02-15,0.00086
nd,2020-02-15,0.011352
ne,2020-02-15,0.00324
nh,2020-02-15,0.005497
nj,2020-02-15,0.002415
nm,2020-02-15,0.003951
nv,2020-02-15,0.002161
ny,2020-02-15,0.005738
oh,2020-02-15,0.000738
ok,2020-02-15,0.001574
or,2020-02-15,0.002996
pa,2020-02-15,0.000976
pr,2020-02-15,0.00551
ri,2020-02-15,0.005171
sc,2020-02-15,0.001179
sd,2020-02-15,0.006975
tn,2020-02-15,0.003173
tx,2020-02-15,0.000849
ut,2020-02-15,0.003727
va,2020-02-15,0.001012
vt,2020-02-15,0.010354
wa,2020-02-15,0.001013
wi,2020-02-15,0.001708
wv,2020-02-15,0.002904
wy,2020-02-15,0.018676
ak,2020-02-16,0.023561
al,2020-02-16,0.00195
ar,2020-02-16,0.00301
az,2020-02-16,0.001384
ca,2020-02-16,0.001036
co,2020-02-16,0.008694
ct,2020-02-16,0.002336
dc,2020-02-16,0.006905
de,2020-02-16,0.006079
fl,2020-02-16,0.00191
ga,2020-02-16,0.001641
hi,2020-02-16,0.010838
ia,2020-02-16,0.00199
id,2020-02-16,0.012427
il,2020-02-16,0.002266
in,2020-02-16,0.001804
ks,2020-02-16,0.006716
ky,2020-02-16,0.001797
la,2020-02-16,0.001938
ma,2020-02-16,0.001435
md,2020-02-16,0.001382
me,2020-02-16,0.002905
mi,2020-02-16,0.001241
mn,2020-02-16,0.002053
mo,2020-02-16,0.003216
ms,2020-02-16,0.003144
mt,2020-02-16,0.010738
nc,2020-02-16,0.000977
nd,2020-02-16,0.014414
ne,2020-02-16,0.003719
nh,2020-02-16,0.006725
nj,2020-02-16,0.002428
nm,2020-02-16,0.004575
nv,2020-02-16,0.00257
ny,2020-02-16,0.005986
oh,2020-02-16,0.00071
ok,2020-02-16,0.001872
or,2020-02-16,0.003231
pa,2020-02-16,0.000942
pr,2020-02-16,0.006432
ri,2020-02-16,0.006182
sc,2020-02-16,0.001366
sd,2020-02-16,0.008804
tn,2020-02-16,0.003164
tx,2020-02-16,0.00108
ut,2020-02-16,0.004522
va,2020-02-16,0.001151
vt,2020-02-16,0.013031
wa,2020-02-16,0.001156
wi,2020-02-16,0.001915
wv,2020-02-16,0.004578
wy,2020-02-16,0.023279
ak,2020-02-17,0.029817
al,2020-02-17,0.002492
ar,2020-02-17,0.003863
az,2020-02-17,0.001517
ca,2020-02-17,0.001318
co,2020-02-17,0.011126
ct,2020-02-17,0.004058
dc,2020-02-17,0.008967
de,2020-02-17,0.007129
fl,2020-02-17,0.002058
ga,2020-02-17,0.001865
hi,2020-02-17,0.012518
ia,2020-02-17,0.00193
id,2020-02-17,0.021758
