geo_value,time_value,fb_illness
nh,2020-04-15,0.9000395
nj,2020-04-15,0.9365618
nm,2020-04-15,0.4841
nv,2020-04-15,0.9701059
ny,2020-04-15,1.1582328
oh,2020-04-15,0.7086494
ok,2020-04-15,0.9364177
or,2020-04-15,0.8940596
pa,2020-04-15,0.7158455
ri,2020-04-15,0.7461134
sc,2020-04-15,0.6679533
sd,2020-04-15,0.765993
tn,2020-04-15,0.6838512
tx,2020-04-15,0.8086697
ut,2020-04-15,1.7956969
va,2020-04-15,0.5996098
vt,2020-04-15,0.8534145
wa,2020-04-15,0.7325563
wi,2020-04-15,0.7975178
wv,2020-04-15,0.5113665
wy,2020-04-15,0.8654075
ak,2020-04-16,0.7681676
al,2020-04-16,0.7626552
ar,2020-04-16,0.7532324
az,2020-04-16,0.9907746
ca,2020-04-16,0.552085
co,2020-04-16,1.0408055
ct,2020-04-16,1.1085177
dc,2020-04-16,0.4758553
de,2020-04-16,0.9855499
fl,2020-04-16,0.640282
ga,2020-04-16,0.5147994
hi,2020-04-16,0.2344451
ia,2020-04-16,0.8949274
id,2020-04-16,0.7741963
il,2020-04-16,0.7939889
in,2020-04-16,0.7295246
ks,2020-04-16,0.6743329
ky,2020-04-16,0.9403561
la,2020-04-16,1.0941226
ma,2020-04-16,0.7813979
md,2020-04-16,0.475822
me,2020-04-16,0.4648545
mi,2020-04-16,0.8590577
mn,2020-04-16,0.6189876
mo,2020-04-16,0.7878946
ms,2020-04-16,0.7680325
mt,2020-04-16,0.5854063
nc,2020-04-16,0.5059082
nd,2020-04-16,0.6275625
ne,2020-04-16,0.5792764
nh,2020-04-16,0.9105684
nj,2020-04-16,0.86945
nm,2020-04-16,0.3594582
nv,2020-04-16,1.0161535
ny,2020-04-16,1.0564944
oh,2020-04-16,0.7238481
ok,2020-04-16,0.8418207
or,2020-04-16,0.7953396
pa,2020-04-16,0.726325
ri,2020-04-16,0.6831246
sc,2020-04-16,0.6389216
sd,2020-04-16,0.7541714
tn,2020-04-16,0.6389781
tx,2020-04-16,0.7969136
ut,2020-04-16,1.7741368
va,2020-04-16,0.605327
vt,2020-04-16,0.6520699
wa,2020-04-16,0.66995
wi,2020-04-16,0.7922602
wv,2020-04-16,0.6082571
wy,2020-04-16,0.7309013
ak,2020-04-17,0.8428849
al,2020-04-17,0.8474551
ar,2020-04-17,0.701064
az,2020-04-17,0.9700116
ca,2020-04-17,0.5859476
co,2020-04-17,1.0267784
ct,2020-04-17,1.1067718
dc,2020-04-17,0.3085989
de,2020-04-17,0.8880915
fl,2020-04-17,0.6936366
ga,2020-04-17,0.4906903
hi,2020-04-17,0.273335
ia,2020-04-17,1.0421635
id,2020-04-17,0.7242583
il,2020-04-17,0.7890179
in,2020-04-17,0.7114557
ks,2020-04-17,0.6161602
ky,2020-04-17,0.9597693
la,2020-04-17,1.0733598
ma,2020-04-17,0.7760391
md,2020-04-17,0.4128096
me,2020-04-17,0.388295
mi,2020-04-17,0.7944762
mn,2020-04-17,0.5748756
mo,2020-04-17,0.7950081
ms,2020-04-17,0.6997381
mt,2020-04-17,0.6131569
nc,2020-04-17,0.5496133
nd,2020-04-17,0.620623
ne,2020-04-17,0.6555301
nh,2020-04-17,0.9209023
