geo_value,time_value,covid_admissions
in,2020-02-12,0.074115
ks,2020-02-12,0.102282
ky,2020-02-12,0.406104
la,2020-02-12,0.101839
ma,2020-02-12,0.083316
md,2020-02-12,0.081552
me,2020-02-12,0.180667
mi,2020-02-12,0.081606
mn,2020-02-12,0.092736
mo,2020-02-12,0.083483
ms,2020-02-12,0.085495
nc,2020-02-12,0.067082
nd,2020-02-12,0.466107
ne,2020-02-12,0.092055
nh,2020-02-12,0.09285
nj,2020-02-12,0.250551
nm,2020-02-12,0.212699
nv,2020-02-12,0.086112
ny,2020-02-12,0.033835
oh,2020-02-12,0.079292
ok,2020-02-12,0.084844
or,2020-02-12,0.089545
pa,2020-02-12,0.114199
ri,2020-02-12,0.096303
sc,2020-02-12,0.068354
sd,2020-02-12,0.410916
tn,2020-02-12,0.070919
tx,2020-02-12,0.027783
ut,2020-02-12,0.088743
va,2020-02-12,0.064567
vt,2020-02-12,0.216265
wa,2020-02-12,0.06618
wi,2020-02-12,0.077711
wv,2020-02-12,0.102635
wy,2020-02-12,0.438254
al,2020-02-13,0.074799
ar,2020-02-13,0.074825
az,2020-02-13,0.224331
ca,2020-02-13,0.048009
co,2020-02-13,0.056516
ct,2020-02-13,0.059139
dc,2020-02-13,0.139781
de,2020-02-13,0.267437
fl,2020-02-13,0.031714
ga,2020-02-13,0.088797
hi,2020-02-13,0.109555
ia,2020-02-13,0.089829
id,2020-02-13,0.162444
il,2020-02-13,0.077138
in,2020-02-13,0.074788
ks,2020-02-13,0.087919
ky,2020-02-13,0.394954
la,2020-02-13,0.085509
ma,2020-02-13,0.082949
md,2020-02-13,0.08198
me,2020-02-13,0.184102
mi,2020-02-13,0.083607
mn,2020-02-13,0.095206
mo,2020-02-13,0.082512
ms,2020-02-13,0.07956
nc,2020-02-13,0.056536
nd,2020-02-13,0.465561
ne,2020-02-13,0.093763
nh,2020-02-13,0.094312
nj,2020-02-13,0.233951
nm,2020-02-13,0.184178
nv,2020-02-13,0.088814
ny,2020-02-13,0.029101
oh,2020-02-13,0.069145
ok,2020-02-13,0.080098
or,2020-02-13,0.091398
pa,2020-02-13,0.098934
ri,2020-02-13,0.094867
sc,2020-02-13,0.072913
sd,2020-02-13,0.434775
tn,2020-02-13,0.075391
tx,2020-02-13,0.024968
ut,2020-02-13,0.08808
va,2020-02-13,0.067575
vt,2020-02-13,0.223228
wa,2020-02-13,0.065737
wi,2020-02-13,0.081493
wv,2020-02-13,0.100142
wy,2020-02-13,0.482648
al,2020-02-14,0.073889
ar,2020-02-14,0.078628
az,2020-02-14,0.195037
ca,2020-02-14,0.044282
co,2020-02-14,0.055493
ct,2020-02-14,0.056962
dc,2020-02-14,0.140985
de,2020-02-14,0.273962
fl,2020-02-14,0.026288
ga,2020-02-14,0.114701
hi,2020-02-14,0.11628
ia,2020-02-14,0.086146
id,2020-02-14,0.170207
il,2020-02-14,0.072761
in,2020-02-14,0.074174
ks,2020-02-14,0.080439
ky,2020-02-14,0.381787
la,2020-02-14,0.083737
ma,2020-02-14,0.083656
md,2020-02-14,0.082899
me,2020-02-14,0.187703
mi,2020-02-14,0.083369
mn,2020-02-14,0.096282
mo,2020-02-14,0.081726
ms,2020-02-14,0.076039
nc,2020-02-14,0.055466
nd,2020-02-14,0.473189
ne,2020-02-14,0.095486
nh,2020-02-14,0.096322
nj,2020-02-14,0.245153
nm,2020-02-14,0.163487
nv,2020-02-14,0.091436
ny,2020-02-14,0.026314
oh,2020-02-14,0.0637
ok,2020-02-14,0.076564
or,2020-02-14,0.092446
pa,2020-02-14,0.086768
ri,2020-02-14,0.095122
sc,2020-02-14,0.064785
sd,2020-02-14,0.478433
tn,2020-02-14,0.081333
tx,2020-02-14,0.022236
ut,2020-02-14,0.08879
va,2020-02-14,0.071429
vt,2020-02-14,0.229534
wa,2020-02-14,0.065581
wi,2020-02-14,0.069427
wv,2020-02-14,0.097492
al,2020-02-15,0.074036
ar,2020-02-15,0.082291
az,2020-02-15,0.161256
ca,2020-02-15,0.041166
co,2020-02-15,0.055336
ct,2020-02-15,0.055946
dc,2020-02-15,0.140436
de,2020-02-15,0.27535
fl,2020-02-15,0.022067
ga,2020-02-15,0.139944
hi,2020-02-15,0.121991
ia,2020-02-15,0.084908
id,2020-02-15,0.180166
il,2020-02-15,0.070783
in,2020-02-15,0.073285
ks,2020-02-15,0.082583
ky,2020-02-15,0.37502
la,2020-02-15,0.069802
ma,2020-02-15,0.084988
md,2020-02-15,0.08357
me,2020-02-15,0.189947
mi,2020-02-15,0.085165
mn,2020-02-15,0.098019
mo,2020-02-15,0.080683
ms,2020-02-15,0.073479
nc,2020-02-15,0.056737
nd,2020-02-15,0.489499
ne,2020-02-15,0.094818
nh,2020-02-15,0.098162
nj,2020-02-15,0.228991
nm,2020-02-15,0.144647
nv,2020-02-15,0.093813
ny,2020-02-15,0.026024
oh,2020-02-15,0.087592
ok,2020-02-15,0.07472
or,2020-02-15,0.091749
pa,2020-02-15,0.119778
ri,2020-02-15,0.096336
sc,2020-02-15,0.059567
tn,2020-02-15,0.085352
tx,2020-02-15,0.02036
ut,2020-02-15,0.090423
va,2020-02-15,0.074835
vt,2020-02-15,0.232783
wa,2020-02-15,0.065661
wi,2020-02-15,0.063143
wv,2020-02-15,0.096639
al,2020-02-16,0.075427
ar,2020-02-16,0.079501
az,2020-02-16,0.138895
ca,2020-02-16,0.062249
co,2020-02-16,0.057491
ct,2020-02-16,0.059212
dc,2020-02-16,0.140952
de,2020-02-16,0.274416
fl,2020-02-16,0.021135
ga,2020-02-16,0.136207
hi,2020-02-16,0.126009
ia,2020-02-16,0.086625
id,2020-02-16,0.18987
il,2020-02-16,0.073292
in,2020-02-16,0.074756
ks,2020-02-16,0.079132
