geo_value,time_value,percent_covid_tests_positive_smoothed,covid_admissions,raw_search,percent_covid_visits,fb_illness,new_cases,full_time_work_prop,percent_home
ny,2020-05-30,3.84068279,5.074026,7.121229615111001,0.633996,0.45915079999999997,1376,3.6223972588762003,37.418121995039996
ok,2020-05-30,4.26136364,1.099724,34.638493866238,0.070425,0.4505356,80,2.6240909827195,23.676331240910002
ri,2020-05-30,1.4084507,1.8883439999999998,87.750087750088,0.22572899999999999,0.6063009,184,3.5048038265482,33.553643438848
tx,2020-05-30,6.2599681,2.739399,11.343245168113999,0.213973,0.4259312,1930,2.5854697814336003,27.692865810031996
va,2020-05-30,5.55555556,4.636145,21.967551247836,0.307411,0.52052,1078,2.8223276605965,31.88846515189
al,2020-05-31,30.76923077,5.684673,25.90496056,0.17870899999999998,0.5594954000000001,511,1.9405504503406996,27.581218899608
ar,2020-05-31,8.21917808,2.340135,0.0,0.157404,0.7275099,240,1.8435237440827,26.419976296698998
ca,2020-05-31,11.29032258,1.697627,4.50976646,0.233064,0.36445879999999997,2056,3.0561081189624,38.090047335723
ct,2020-05-31,5.38461538,5.612461,0.0,0.414789,0.4093187,179,2.9117304047242993,35.151407163243
fl,2020-05-31,5.88017751,2.192098,0.0,0.125419,0.41249880000000005,739,1.8529328380414,35.911944363687006
ga,2020-05-31,7.89398689,1.605373,4.42197696,0.21620100000000003,0.4701682,732,1.7436580551211005,31.237279487765
ks,2020-05-31,12.04013378,1.448631,0.0,0.09915800000000001,0.3676618,10,2.945189786663,30.998934964578
ky,2020-05-31,5.17503805,1.5422870000000002,0.0,0.053888,0.4039994,0,3.0003686689365003,30.373717403329
la,2020-05-31,2.94117647,1.389426,43.86066629,0.18625799999999998,0.5415127,339,3.2956655051066,38.078773589396995
ma,2020-05-31,5.89660743,7.148358999999999,0.0,0.30542800000000003,0.3991825,170,4.0275961107447005,40.907491501592
md,2020-05-31,12.71676301,5.735316,22.80135363,0.45875600000000005,0.6909685999999999,763,3.353664731163201,39.539761473969
mi,2020-05-31,0.30030029999999996,1.649471,0.0,0.144359,0.38723759999999996,467,3.2835969404803995,34.416085049139
mo,2020-05-31,13.20754717,1.91491,19.17505952,0.123839,0.5226152000000001,173,2.6132676024665997,30.401142500603996
ms,2020-05-31,1.61290323,2.888179,0.0,0.285315,0.6857265,294,2.4200847268163,30.192856220162
nj,2020-05-31,1.35746606,5.922356,0.0,0.888383,0.44750690000000004,837,2.5891911208449,37.790678235701
ny,2020-05-31,3.81895332,4.919633,7.24317332,0.5757369999999999,0.4494148,1110,3.2115485587512995,39.100312414072995
